date,gap
2020/6/9,0.231913438
2020/6/10,0.383900777
2020/6/11,0
2020/6/12,0.696903197
2020/6/13,0.321942699
2020/6/14,0
2020/6/15,0
2020/6/16,0
2020/6/17,0
2020/6/18,0
2020/6/19,0
2020/6/20,0
2020/6/21,0
2020/6/22,0
2020/6/23,0
2020/6/24,0
2020/6/25,0
2020/6/26,0
2020/6/27,0.039139312
2020/6/28,0.354060761
2020/6/29,0.162378259
2020/6/30,0.175262159
2020/7/1,0.135041022
2020/7/2,0.100766745
2020/7/3,0.059740158
2020/7/4,0.0849987
2020/7/5,0.042299978
2020/7/6,0
2020/7/7,0
2020/7/8,0
2020/7/9,0
2020/7/10,0
2020/7/11,0
2020/7/12,0
2020/7/13,0
2020/7/14,0.074737338
2020/7/15,0.328765762
2020/7/16,0.487470567
2020/7/17,0.533329255
2020/7/18,0.590834926
2020/7/19,1.040059766
2020/7/20,1.660072483
2020/7/21,1.64341606
2020/7/22,1.863057994
2020/7/23,1.910218519
2020/7/24,1.604814713
2020/7/25,1.594419195
2020/7/26,1.554822835
2020/7/27,1.466310194
2020/7/28,0.851198584
2020/7/29,0.605354318
2020/7/30,0.56555242
2020/7/31,0.824033041
2020/8/1,0.703235069
2020/8/2,0.862162707
2020/8/3,0.974088805
2020/8/4,0.869771328
2020/8/5,1.373641551
2020/8/6,1.721026796
2020/8/7,1.562710245
2020/8/8,1.444227193
2020/8/9,1.217135752
2020/8/10,1.950668813
2020/8/11,2.650432566
2020/8/12,2.213277133
2020/8/13,2.043414867
2020/8/14,1.781562293
2020/8/15,1.5787862
2020/8/16,1.20008615
2020/8/17,0.805620376
2020/8/18,1.081514469
2020/8/19,1.066012654
2020/8/20,0.389450087
2020/8/21,0.086175584
2020/8/22,0.148537
2020/8/23,0.399459073
2020/8/24,0.46162666
2020/8/25,0.322842703
2020/8/26,0.146388945
2020/8/27,0.164251681
2020/8/28,0.133312232
2020/8/29,0.076438072
2020/8/30,0
2020/8/31,0.068836914
2020/9/1,0.209375675
2020/9/2,0.686060264
2020/9/3,0.679265593
2020/9/4,0
2020/9/5,0.29955831
2020/9/6,1.112415249
2020/9/7,1.25598315
2020/9/8,1.077015035
2020/9/9,0.54618506
2020/9/10,0.037470454
2020/9/11,0.825742865
2020/9/12,0.39321705
2020/9/13,0.448198329
2020/9/14,0.568758357
2020/9/15,1.56419664
2020/9/16,2.230245025
2020/9/17,1.73036069
2020/9/18,1.244985305
2020/9/19,1.068413057
2020/9/20,1.238719324
2020/9/21,0.99446145
2020/9/22,0.653244815
2020/9/23,0.235721787
2020/9/24,0
2020/9/25,0
2020/9/26,0
2020/9/27,0
2020/9/28,0
2020/9/29,0
2020/9/30,0
2020/10/1,0
2020/10/2,0
2020/10/3,0
2020/10/4,0
2020/10/5,0
2020/10/6,0
2020/10/7,0
2020/10/8,0
2020/10/9,0
2020/10/10,0
2020/10/11,0
2020/10/12,0
2020/10/13,0
2020/10/14,0
2020/10/15,0
2020/10/16,0
2020/10/17,0
2020/10/18,0
2020/10/19,0
2020/10/20,0
2020/10/21,0
2020/10/22,0
2020/10/23,0
2020/10/24,0
2020/10/25,0
2020/10/26,0
2020/10/27,0
2020/10/28,0
2020/10/29,0
2020/10/30,0
2020/10/31,0
2020/11/1,0
2020/11/2,0
2020/11/3,0
2020/11/4,0
2020/11/5,0
2020/11/6,0
