 Abstract,Authors,DOI,Database,Descriptor(s),Entry Date,Fulltext URL,ID,ISSN,Issue number,Journal,Language,Publication Country,Publication year,Source,Title,Type,Unnamed: 18,Unnamed: 19,Volume number,paper_type,cross_type,long_type
"Several preventive measures have been applied to limit the COVID-19 pandemic, including successful the development and introduction of vaccines. The aim of this study was to investigate adherence to preventive measures and vaccination intentions among nursing students in three European countries and the factors associated with vaccination intention and advising vaccination. A cross-sectional study using convenience/snow-ball sampling strategy was performed in Slovenia, Poland, and Serbia between 12 February and 5 March 2021. Data from 872 eligible respondents were analyzed (mean age 23.5 ?¨¤ 6.5 years, 89% female). Higher adherence to preventive behavior was declared by those working in healthcare (p &amp;lt;0.001), engaged in COVID-19 departments (p &amp;lt;0.001), had not had the disease yet (p &amp;lt;0.001), and had children (p = 0.01). Those groups also expressed higher vaccination intention and advised vaccination to others. Higher vaccination intention and advising vaccination were mostly associated with belief in benefits of vaccine, trust in institutions, perceived effectiveness of vaccine, influence of social environment, protection of patients and perceived health care professionals?¡¥ duty. Fear of side effects and general refusal of vaccines are the main reasons for vaccination hesitancy. The results of the study indicate how higher education institutions can support the development of appropriate professional attitudes and behaviors among nursing students.","Kregar Velikonja, Nevenka, Dobrowolska, Beata, Stanisavljevi?, Sanja, Erjavec, Karmen, Globevnik Velikonja, Vislava, Verdenik, Ivan",,MDPI,,20210702,https://doi.org/10.3390/healthcare9070781,covidwho-1288847,,7,Healthcare,en,,2021,"Healthcare; 9(7):781, 2021.",Attitudes of Nursing Students towards Vaccination and Other Preventive Measures for Limitation of COVID-19 Pandemic: Cross-Sectional Study in Three European Countries,article,,,9,online,1,0
"PURPOSE: The current study investigated how risk exposures, risk perceptions of COVID-19, and negative attitudes toward general vaccination were related to COVID vaccine acceptance among college students. DESIGN: Cross-sectional study. SETTING: Data was collected by online survey using RedCap among college students in South Carolina between September 2020 and October 2020. SAMPLE: 1062 college students in South Carolina. MEASURES: risk exposures to COVID-19, perceived severity of COVID-19, perceived susceptibility of COVID-19, negative attitude toward general vaccination, vaccine acceptance of COVID-19. ANALYSIS: Hierarchical linear regression was used to examine the association of these factors with COVID-19 vaccine acceptance controlling for key demographics. RESULTS: Perceived severity of COVID-19 was positively associated with vaccine acceptance (? = 0.19, p &lt; 0.001). Higher level of risk exposures (? = -0.08, p = 0.007) and negative attitude toward general vaccination (? = -0.38, p &lt; 0.001) were associated with low vaccine acceptance. CONCLUSION: We need tailored education messages for college students to emphasize the severity of COVID-19, address the concerns of side effects of general vaccines by dispelling the misconception, and target the most vulnerable subgroups who reported high level of risk exposures while showed low intention to take the vaccine.","Qiao, Shan; Tam, Cheuk Chi; Li, Xiaoming",,MEDLINE,,20210701,https://dx.doi.org/10.1177/08901171211028407,covidwho-1286789,2168-6602,,Am J Health Promot,en,US,2021,"Am J Health Promot;: 8901171211028407, 2021 Jun 24. ","Risk Exposures, Risk Perceptions, Negative Attitudes Toward General Vaccination, and COVID-19 Vaccine Acceptance Among College Students in south Carolina.",article,,,,online,1,0
,"Alle, Yewlsew Fentie, Oumer, Keder Essa",,PMC,,20210701,https://doi.org/10.1007/s13337-021-00708-0,covidwho-1286203,,,VirusDisease,en,,2021,VirusDisease;2021.,"Attitude and associated factors of COVID-19 vaccine acceptance among health professionals in Debre Tabor Comprehensive Specialized Hospital, North Central Ethiopia;2021: cross-sectional study",article,,,,offline,1,0
"This study investigated the attitudes of Slovak medical students to COVID-19 vaccination. A cross-sectional study was conducted between 10 March 2021 and 24 March 2021, as the second wave of coronavirus spread in Slovakia. It was performed in four medical faculties with students in years 1-6. An online anonymous questionnaire was distributed through official university platforms. The survey was completed by 1228 of 5374 medical students. The vaccinated group of students had received at least one dose of the COVID-19 vaccine. The study was conducted on 1228 students, of which 880 (71.7%) were vaccinated and 348 unvaccinated (28.3%). The median age was 22 years (range 18-33 years), and 70.6% were women. The lowest vaccination rate was among first (32.7%) and second-year students (61.6%), students living at home with their family (63.8%) and students living in urban areas (69.8%). Only 22.4% of medical students were concerned about serious side effects from the COVID-19 vaccine, and 38.8% were concerned that the COVID-19 vaccine may not be effective. This study provides key information related to medical student vaccination in Slovakia and education about COVID-19 vaccination.","Sovicova, Miroslava; Zibolenova, Jana; Svihrova, Viera; Hudeckova, Henrieta",,MEDLINE,,20210630,https://dx.doi.org/10.3390/ijerph18136815,covidwho-1285383,1660-4601,13,Int. j. environ. res. public health (Online),en,CH,2021,Int J Environ Res Public Health;18(13)2021 Jun 25. ,Odds Ratio Estimation of Medical Students&#039; Attitudes towards COVID-19 Vaccination.,article,,,18,online,1,0
,"Velumani, Suresh; Arpita, Patel; Balaraman, Ramachandran",,MEDLINE,,20210629,https://dx.doi.org/10.4103/ijp.ijp_173_21,covidwho-1282687,1998-3751,3,Indian J Pharmacol,en,IN,2021,"Indian J Pharmacol;53(3): 250-251, 2021. ",Attitude toward COVID-19 vaccination: A cross-sectional study on healthcare professionals.,article,,,53,online,1,0
"Background: In the context of the global COVID-19 pandemic and the expansion of the more transmissible 20J/501Y.V3 (Gamma) variant of concern (VOC), mRNA vaccines have been made available in French Guiana, an overseas French territory in South America, from mid-January 2021. This study aimed to estimate the willingness to be vaccinated and the socio-demographic and motivational correlates among Health Care Workers (HCWs) in French Guiana. Methods: A cross-sectional survey was conducted from January 22 to March 26, 2021 among a sample of HCWs in French Guiana. They were asked about their willingness to get vaccinated against COVID-19 and vaccine hesitancy, vaccine uptake and vaccines attitudes. Factors associated with willingness to get vaccinated have been analyzed with ordinal logistic regression, using Stata software. Results: A total of 579 HCWs were interviewed, including 220 physicians and 200 nurses most often working in hospital (54%) or in the liberal sector (22%). Overall, 65.6% of respondents reported that they were willing or had already been vaccinated against COVID-19, while 24.3% of respondents reported that they did not want to get vaccinated against COVID-19 and 11.2% were unsure. HCWs were more willing to get vaccine if they were older, were worried about COVID-19 and were confident in the management of epidemic. Conversely, participants were less likely to have been vaccinated or willing to if they were nurses or of another non-medical profession, born in French Guiana, feared adverse effects, or if they did not trust pharmaceutical companies and management of the epidemic by authorities. Conclusion: Negative attitudes towards vaccines are a major public health concern among HCWs in French Guiana when considering the current active epidemic with Gamma VOC. General vaccine hesitancy and concerns about future side effects in particular represent important barriers. Low confidence in government and science are significant in COVID-19 vaccine refusal among non-medical staffs. Public health messaging with information on vaccine safety should be tailored to address these concerns. The specific challenges of HCWs from French Guiana must be taken into account.","Vignier, Nicolas, Brureau, Kepha, Granier, Sybille, Breton, Jacques, Michaud, C¡§|line, Gaillet, M¡§|lanie, Agostini, Camille, Ballet, Mathilde, Nacher, Mathieu, Valdes, Audrey, Abboud, Philippe, Adenis, Antoine, Djossou, F¡§|lix, Epelboin, Lo?c, Douine, Maylis",,ProQuest Central,,20210629,https://doi.org/10.3390/vaccines9060682,covidwho-1282661,,6,Vaccines,en,,2021,"Vaccines; 9(6):682, 2021.",Attitudes towards the COVID-19 Vaccine and Willingness to Get Vaccinated among Healthcare Workers in French Guiana: The Influence of Geographical Origin,article,,,9,online and offline,1,0
"Background: Coronavirus disease (COVID-19) is a deadly virus that continues to afflict many countries worldwide. The development of a COVID-19 vaccine to combat the disease&#039;s spread and devastating effects is still ongoing, and as the pandemic progresses, new, more effective vaccines are likely to be created. The aim of this study was to assess awareness and attitude towards COVID-19 vaccination in Ethiopia. Methods: A population-based cross-sectional e-survey was conducted among 425 participants from March 13, 2021 to April 10, 2021. The survey was conducted using a structured and self-reported questionnaire containing informed consent along with three sections (socio-demographic, awareness, and attitude);a multivariable logistic regression model was performed to determine the variables predicting awareness towards COVID-19 vaccinations. Results: The mean score of awareness was 4.3 (SD=1.1) out of 7, with the overall awareness of 40.8%, and the mean score of attitudes was 4.09 (SD=2.16) out of 9, with an overall &quot;positive attitude&quot; score of 24.2%. College and above educational level (AOR=2.21, 95% CI=1.32, 4.62), had access to mass media (AOR=4.75, 95% CI =2.74, 8.24), and urban residency (AOR=2.83, 95% C.I = 1.57, 5.09) were significantly associated with awareness towards COVID-19 vaccination. Conclusion: In Ethiopia, there is a poor knowledge toward COVID-19 vaccines, according to the current report. The findings indicate that authorities should implement an urgent health education program and disseminate more reliable information. Using the media, policymakers should take measures to ensure adequate awareness of COVID-19 vaccinations with various stakeholders.","Mesesle, M.",,MEDLINE,,20210629,https://doi.org/10.2147/IDR.S316461,covidwho-1282359,,,Infection &amp; Drug Resistance,en,,2021,"Infection &amp; Drug Resistance; 14:2193-2199, 2021.",Awareness and Attitude Towards COVID-19 Vaccination and Associated Factors in Ethiopia: Cross-Sectional Study,article,,,14,online,1,0
"BACKGROUND: The main purpose in this study carried out from the perspective of infodemic was to investigate the relationships between individuals&#039; perceived causes of COVID-19, their attitudes towards vaccine and their levels of trust in information sources in terms of various descriptive characteristics. METHODS: In this cross-sectional and correlational study conducted with 1216 individuals from different provinces of Turkey, the Perception of Causes of COVID-19 (PCa-COVID-19) Scale was used. In addition, a questionnaire including the participants&#039; descriptive characteristics, their attitudes towards vaccine and their level of trust in information sources about Covid-19 was used. RESULTS: The mean age of the participants was 35.9 ?¨¤ 12.3 years. Of them, 62.5% were women, 59.0% were married, and 62.1% were university graduates. As for their view of having the Covid-19 vaccine, 54.1% thought to have it, 16.2% did not think, and 29.7% were undecided. Although the correlation was not significant, of the participants, those who considered having vaccination mostly trusted YouTube as their source of information. Of the participants, those whose level of trust in government institutions and health professionals was high displayed significantly more favorable attitudes towards vaccine. The participants obtained the highest mean score from the Conspiracy Theories subscale of the PCa-COVID-19 scale. There was a positive and low-level relationship between attitudes towards COVID-19 vaccine, and the Conspiracy Theories (r: 0.214) and Faith Factors (r: 0.066) sub-dimensions of the PCa-COVID-19 Scale. CONCLUSIONS: The level of vaccine hesitancy in Turkey is at an alarming level, and the virus is defined by moderate conspiracy theories. In this context, in the fight against infodemic, it is critical to implement mechanisms that can reveal misinformation and to plan initiatives that can increase the health literacy levels of societies.","Karabela, Semsi Nur; Coskun, Filiz; Hosg?r, Haydar",,MEDLINE,COVID-19; Vaccines; Adult; Attitude; COVID-19 Vaccines; Cross-Sectional Studies; Female; Humans; Middle Aged; SARS-CoV-2; Trust; Turkey; Young Adult,20210624,https://dx.doi.org/10.1186/s12889-021-11262-1,covidwho-1277933,1471-2458,1,BMC Public Health,en,GB,2021,"BMC Public Health;21(1): 1195, 2021 06 23. ","Investigation of the relationships between perceived causes of COVID-19, attitudes towards vaccine and level of trust in information sources from the perspective of Infodemic: the case of Turkey.",article,,,21,online,1,0
"The purpose of this study is to evaluate the attitudes of healthcare professionals toward the COVID -19 vaccine, which has been introduced to healthcare professionals at the beginning of 2021 and give information to them on the disease and vaccine. This cross-sectional analytical study has been performed by conducting an online survey to the healthcare professionals who work at the healthcare institutions in the province of Samsun in Turkey between December 2020 and January 2021. In addition to sixteen questions about the demographic characteristics, the &quot;Attitudes towards the COVID -19 vaccine&quot; scale has been used. MANOVA test and Spearman rho correlation coefficient were used in analytical examinations. A total of 1426 healthcare professional have been reached. 64.3% of participants were female, 44.1% were nurse/midwife and 66.6% were public employees. Regarding the questions in the sub-dimension of positive attitude, the rate of response of &quot;I agree/I strongly agree&quot; was between 40.6% and 54.6%. Positive attitude mean values differ according to gender, age, institution, presence of children, smoking status, being a relative who died due to COVID -19, and profession (respectively p &lt;?.001, p &lt;?.001, p &lt;?.001, p &lt;?.001, p =?.002, p =?.019, p &lt;?.001). It has been observed that positive and negative attitudes toward COVID -19 vaccination are almost equally distributed and some demographic factors affect the attitude. The opinions of healthcare professionals on the safety and effectiveness of the vaccine, which are the main elements of the vaccination effort, may affect the public perception of vaccination.","Oru?, Muhammet Ali; ?zt¡§1rk, Onur",,MEDLINE,,20210622,https://dx.doi.org/10.1080/21645515.2021.1928462,covidwho-1272940,2164-554X,,Hum Vaccin Immunother,en,US,2021,"Hum Vaccin Immunother;: 1-7, 2021 Jun 18. ",Attitudes of health care professionals towards COVID-19 vaccine - a sequence from Turkey.,article,,,,online,1,0
"ABSTRACT Purpose: This study was conducted to examine the association between coronaphobia and attitude towards COVID-19 vaccine in the society. Methods: This cross-sectional descriptive study included a total of 1252 individuals. The survey form was sent online to individuals who were 18 years of age and older. Results: It was found that the participants had a mean Attitudes towards the Covid-19 scale positive attitude sub-dimension score of 2.81?¨¤1.04, while they had a mean negative attitude sub-dimension score of 2.95?¨¤0.78 and a mean total score of 2.89?¨¤0.78. It was found that the participants had a mean Coronavirus 19 Phobia Scale score of 55.28?¨¤15.00. Conclusions: It was found that the participants had a moderate level of coronavirus phobia and positive attitudes towards the vaccine.","Turan, G¡§1lcan Bahcecioglu, Aksoy, Meyreme, ?zer, Z¡§1lfinaz, Demir, Cuma",,ScienceDirect,,20210616,https://doi.org/10.1016/j.encep.2021.04.002,covidwho-1267666,,,L&#039;Enc¡§|phale,en,,2021,L&#039;Enc¡§|phale;2021.,The Association Between Coronaphobia And Attitude Towards Covid-19 Vaccine: A Sample In The East Of Turkey,article,,,,online,1,0
