 Abstract,Authors,DOI,Database,Descriptor(s),Entry Date,Fulltext URL,ID,ISSN,Issue number,Journal,Language,Publication Country,Publication year,Source,Title,Type,Unnamed: 18,Unnamed: 19,Volume number
"BACKGROUND: During COVID-19, the public actively sought non-pharmacological and self-management approaches to prevent infection. Little is known on the use of traditional, complementary and integrative medicine (TCIM) by the public as preventive measures. This study investigated the prevalence and patterns of TCIM use during the pandemic, and identified factors associated with its use among the general population in Hong Kong. METHODS: An online cross-sectional survey was conducted from November to December 2020. The survey solicited information on the respondents&#039; sociodemographic characteristics, risk perception of the pandemic, and use of TCIM before and during the pandemic. Logistic regression analysis was conducted to determine predictors of TCIM use. RESULTS: In total, 632 responses (completion rate = 88.1%) were analyzed. TCIM was used by 44.0% of respondents during the pandemic. The most popular forms of TCIM were vitamins or other dietary supplements (n = 160, 25.3%) and Chinese herbal medicine (n = 122, 19.3%) during the pandemic. The most frequently reported indication was strengthening the immune system, especially for vitamins or other dietary supplements (n = 142/160, 88.8%). Respondents who reported using TCIM were more likely to be female (adjusted odds ratio [aOR] = 1.82, 95% confidence interval [CI] = 1.29-2.59), had higher education attainment (aOR = 2.21, 95% CI = 1.39-3.59), and older-aged (age &gt;55 years: aOR = 1.77, 95% CI = 1.04-3.02). Respondents who resided in districts with moderate to high number of confirmed COVID-19 cases (aOR = 1.60, 95% CI = 1.07-2.42) and had a higher level of risk perception (aOR = 1.04, 95% CI = 1.01-1.07) were also more likely to use TCIM. CONCLUSION: TCIM was used commonly in Hong Kong during the COVID-19 pandemic. While vaccination and social distancing remain the mainstay of controlling the pandemic, professional bodies should proactively consider public preferences and provide information regarding the effectiveness and safety of TCIM for COVID-19 prevention and treatment.","Lam, Chun Sing; Koon, Ho Kee; Chung, Vincent Chi-Ho; Cheung, Yin Ting",,MEDLINE,,20210706.0,https://dx.doi.org/10.1371/journal.pone.0253890,covidwho-1290906,1932-6203,7,PLoS One,en,US,2021.0,"PLoS One;16(7): e0253890, 2021. ","A public survey of traditional, complementary and integrative medicine use during the COVID-19 outbreak in Hong Kong.",article,,,16
"BACKGROUND: The COVID-19 epidemic and the related containment strategies may affect parental and pediatric health behaviors. OBJECTIVE: The goal of this study was to assess the change in children&#039;s and adolescents&#039; prevention and vaccination behaviors amid China&#039;s COVID-19 epidemic. METHODS: We conducted a cross-sectional online survey in mid-March 2020 using proportional quota sampling in Wuhan (the epidemic epicenter) and Shanghai (a nonepicenter). Data were collected from 1655 parents with children aged 3 to 17 years. Children&#039;s and adolescents&#039; prevention behaviors and regular vaccination behaviors before and during the epidemic were assessed. Descriptive analyses were used to investigate respondents&#039; characteristics, public health prevention behaviors, unproven protection behaviors, and vaccination behaviors before and during the COVID-19 epidemic. Univariate analyses were performed to compare differences in outcome measures between cities and family characteristics, using chi-square tests or Fisher exact tests (if expected frequency was &lt;5) and analyses of variance. Multivariate logistic regressions were used to identify the factors and disparities associated with prevention and vaccination behaviors. RESULTS: Parent-reported prevention behaviors increased among children and adolescents during the COVID-19 epidemic compared with those before the epidemic. During the epidemic, 82.2% (638/776) of children or adolescents always wore masks when going out compared with 31.5% (521/1655) before the epidemic; in addition, 25.0% (414/1655) and 79.8% (1321/1655) had increased their frequency and duration of handwashing, respectively, although only 46.9% (776/1655) went out during the epidemic. Meanwhile, 56.1% (928/1655) of the families took unproven remedies against COVID-19. Parent-reported vaccination behaviors showed mixed results, with 74.8% (468/626) delaying scheduled vaccinations and 80.9% (1339/1655) planning to have their children get the influenza vaccination after the epidemic. Regarding socioeconomic status, children and adolescents from larger families and whose parents had lower education levels were less likely to improve prevention behaviors but more likely to take unproven remedies. Girls were less likely than boys to always wear a mask when going out and wash their hands. CONCLUSIONS: Prevention behaviors and attitudes toward influenza vaccination have improved during the COVID-19 epidemic. Public health prevention measures should be continuously promoted, particularly among girls, parents with lower education levels, and larger families. Meanwhile, misinformation about COVID-19 remains a serious challenge and needs to be addressed by public health stakeholders.","Hou, Zhiyuan; Song, Suhang; Du, Fanxing; Shi, Lu; Zhang, Donglan; Lin, Leesa; Yu, Hongjie",,MEDLINE,"Adolescent Behavior; COVID-19/prevention &amp;amp; control; Child Behavior; Hand Disinfection; Masks; Pandemics; Vaccination; Adolescent; Adult; Child; Child, Preschool; China; Cross-Sectional Studies; Epidemics; Female; Health Behavior; Humans; Male; Parents; Patient Acceptance of Health Care; SARS-CoV-2; Social Class; Surveys and Questionnaires",20210706.0,https://dx.doi.org/10.2196/26372,covidwho-1290683,2369-2960,5,JMIR Public Health Surveill,en,CA,2021.0,"JMIR Public Health Surveill;7(5): e26372, 2021 05 26. ",The Influence of the COVID-19 Epidemic on Prevention and Vaccination Behaviors Among Chinese Children and Adolescents: Cross-sectional Online Survey Study.,article,,,7
"The study objective was to identify sociodemographic and coronavirus disease 2019 (COVID-19) factors that are associated with COVID-19 vaccine hesitancy among adolescent and young adult (AYA) cancer survivors. Eligible participants were 18 years or older and were diagnosed with cancer as an AYA (ages 15-39 years) and received services through an AYA cancer program. A total of 342 participants completed a cross-sectional survey. Our primary outcome-COVID-19 vaccine hesitancy-was surveyed as a 5-point Likert scale and operationalized as a binary outcome (agree vs hesitant). A large proportion of participants reported COVID-19 vaccine hesitancy (37.1%). In the multivariable regression, female survivors (odds ratio = 1.81, 95% confidence interval = 1.10 to 2.98) and survivors with a high school education or less (odds ratio = 3.15, 95% confidence interval = 1.41 to 7.04) reported higher odds of vaccine hesitancy compared with their male or college graduate or higher counterparts. COVID-19 vaccine hesitancy persists among AYA survivors despite their recommended priority vaccination status and higher chances of severe COVID-19 outcomes.","Waters, A. R.; Kepka, D.; Ramsay, J. M.; Mann, K.; Vaca Lopez, P. L.; Anderson, J. S.; Ou, J. Y.; Kaddas, H. K.; Palmer, A.; Ray, N.; Tsukamoto, T.; Fair, D. B.; Lewis, M. A.; Kirchhoff, A. C.; Warner, E. L.",,MEDLINE,,20210706.0,https://doi.org/10.1093/jncics/pkab049,covidwho-1292069,,3,JNCI Cancer Spectrum,en,,2021.0,"JNCI Cancer Spectrum; 5(3):pkab049, 2021.",COVID-19 Vaccine Hesitancy Among Adolescent and Young Adult Cancer Survivors,article,,,5
"Background: Coronavirus disease (COVID-19) pandemic has still affected many countries around the world. The COVID-19 vaccine has been presented as the perfect solution for solving the current pandemic. Understanding the willingness of the community to receive the COVID-19 vaccine will help in the development and implementation of effective COVID-19 vaccination promotion programs. The aim of this study was to assess the COVID-19 vaccination acceptance and its associated factors in Sodo town, Wolaita zone, Southern Ethiopia. Methods: A community-based cross-sectional study was conducted among 415 participants in Wolaita Sodo, from April 1 to 30, 2021. To collect data, structured interviewer administered questionnaire was used. A p-value &amp;lt;=0.05 in a multivariable logistic regression model was considered statistically significant. Results: Of 415 participants, 189 (45.5%) of them accepted of COVID-19 vaccines if available. Sex (AOR=2.15, 95% CI: 1.29, 3.56), educational status (AOR=3.09, 95% CI: 1.50, 6.37), mass media (AOR=1.97, 95% CI: 1.06, 3.63), received any vaccination during childhood (AOR=5.16, 95% CI: 2.44, 10.92), family members have been diagnosed with COVID-19 (AOR=4.40, 95% CI: 2.1, 9.25), friends have been diagnosed with COVID-19 (AOR=3.91, 95% CI: 1.52, 10.04), and respondents have tested for COVID-19 (AOR=4.40, 95% CI: 1.70, 11.36) were significantly associated with acceptance of COVID-19 vaccine. Conclusion: The prevalence of COVID-19 vaccination acceptance was law. To enhance the acceptance of COVID-19 vaccine, the government with different stakeholders should strengthen public education using mass media about the advantage of getting COVID-19 vaccination.","Mesele, M.",,MEDLINE,,20210706.0,https://doi.org/10.2147/IDR.S320771,covidwho-1291159,,,Infection &amp; Drug Resistance,en,,2021.0,"Infection &amp; Drug Resistance; 14:2361-2367, 2021.","COVID-19 Vaccination Acceptance and Its Associated Factors in Sodo Town, Wolaita Zone, Southern Ethiopia: Cross-Sectional Study",article,,,14
"As pregnant women are at high risk of severe SARS-CoV-2 infection and COVID-19 vaccines are available in Switzerland, this study aimed to assess the willingness of Swiss pregnant and breastfeeding women to become vaccinated. Through a cross-sectional online study conducted after the first pandemic wave, vaccination practices and willingness to become vaccinated against SARS-CoV-2 if a vaccine was available were evaluated through binary, multi-choice, and open-ended questions. Factors associated with vaccine willingness were evaluated through univariable and multivariable analysis. A total of 1551 women responded to questions related to the primary outcome. Only 29.7% (153/515) of pregnant and 38.6% (400/1036) of breastfeeding women were willing to get vaccinated against SARS-CoV-2 if a vaccine had been available during the first wave. Positive predictors associated with SARS-CoV-2 vaccine acceptance were an age older than 40 years, a higher educational level, history of influenza vaccination within the previous year, having an obstetrician as the primary healthcare practitioner, and being in their third trimester of pregnancy. After the first pandemic wave, Switzerland had a low SARS-CoV-2 vaccination acceptance rate, emphasizing the need to identify and reduce barriers for immunization in pregnant and breastfeeding women, particularly among the youngest and those with a lower educational level.","Stuckelberger, Sarah; Favre, Guillaume; Ceulemans, Michael; Nordeng, Hedvig; Gerbier, Eva; Lambelet, Valentine; Stojanov, Milos; Winterfeld, Ursula; Baud, David; Panchaud, Alice; Pomar, L¨¦o",,MEDLINE,,20210702.0,https://dx.doi.org/10.3390/v13071199,covidwho-1289014,1999-4915,7,Viruses,en,CH,2021.0,Viruses;13(7)2021 Jun 22. ,SARS-CoV-2 Vaccine Willingness among Pregnant and Breastfeeding Women during the First Pandemic Wave: A Cross-Sectional Study in Switzerland.,article,,,13
"The study aimed to determine influenza vaccine uptake among medical students and their intention to receive a hypothetical Ebola or COVID-19 vaccine. This cross-sectional questionnaire-based study was performed in 2015 and 2020 on 675 medical students at the Medical University of Warsaw, Poland. In 2020, the influenza vaccination coverage was 36.5%, and students were almost five times more likely to be vaccinated than in 2015 (OR = 4.8;95% CI: 3.1¨C7.5). In 2020, the survey was conducted during the first university campaign targeted at free influenza vaccinations for all students, as well as during the first lockdown in Poland due to the COVID-19 pandemic. In 2020, clinical students (4th¨C6th study year) were significantly more often vaccinated than preclinical students (p &amp;lt;0.001), in contrast to 2015. A majority¡ª67.0% and 94.6%¡ªof students expressed their intention to receive a hypothetical Ebola or COVID-19 vaccine, respectively. Among the medical students, influenza vaccination status was a predictor of the intention to receive a COVID-19 vaccine. Influenza vaccine uptake among medical students has increased significantly, but it is still not optimal;thus, further educational efforts are needed to convince those who are hesitant regarding vaccines. A high number of students reported their intention to receive a COVID-19 vaccine, and it is crucial to support their positive attitude about it.","Talarek, Ewa, Warzecha, Joanna, Banasiuk, Marcin, Banaszkiewicz, Aleksandra",,MDPI,,20210702.0,https://doi.org/10.3390/vaccines9070709,covidwho-1289047,,7,Vaccines,en,,2021.0,"Vaccines; 9(7):709, 2021.",Influenza Vaccination Coverage and Intention to Receive Hypothetical Ebola and COVID-19 Vaccines among Medical Students,article,,,9
"Acceptance of coronavirus disease 2019 (COVID-19) vaccination appears as a decisive factor necessary to control the ongoing pandemic. Healthcare workers (HCWs) are among the highest risk groups for infection. The current study aimed to evaluate COVID-19 vaccine acceptance among HCWs in Kuwait, with identification of the psychological determinants of COVID-19 vaccine hesitancy. The study was conducted using an online anonymous survey distributed between 18 March 2021 and 29 March 2021. The sampling strategy was convenience-based depending on chain-referral sampling. Psychological determinants of COVID-19 vaccine acceptance were assessed using the 5C subscales and the Vaccine Conspiracy Beliefs Scale (VCBS). The total number of study participants was 1019, with the largest group being physicians (28.7%), pharmacists (20.2%), dentists (16.7%), and nurses (12.5%). The overall rate for COVID-19 vaccine acceptance was 83.3%, with 9.0% who were not willing to accept vaccination and 7.7% who were unsure. The highest rate for COVID-19 vaccine acceptance was seen among dentists (91.2%) and physicians (90.4%), while the lowest rate was seen among nurses (70.1%;p &amp;lt;0.001). A higher level of COVID-19 vaccine hesitancy was found among females, participants with a lower educational level, and HCWs in the private sector. A preference for mRNA vaccine technology and Pfizer-BioNTech COVID-19 vaccine was found among the majority of participants (62.6% and 69.7%, respectively). COVID-19 vaccine hesitancy was significantly linked to the embrace of vaccine conspiracy beliefs. The highest 5C psychological predictors of COVID-19 vaccine acceptance were high levels of collective responsibility and confidence, and lower levels of constraints and calculation. The VCBS and 5C subscales (except the calculation subscale) showed acceptable levels of predicting COVID-19 vaccine acceptance based on receiver operating characteristic analyses. The participants who depended on social media platforms, TV programs, and news releases as their main sources of knowledge about COVID-19 vaccines showed higher rates of COVID-19 vaccine hesitancy. An overall satisfactory level of COVID-19 vaccine acceptance was seen among HCWs in Kuwait, which was among the highest rates reported globally. However;higher levels of vaccine hesitancy were observed among certain groups (females, nurses and laboratory workers, HCWs in the private sector), which should be targeted with more focused awareness programs. HCWs in Kuwait can play a central role in educating their patients and the general public about the benefits of COVID-19 vaccination to halt the spread of SARS-CoV-2, considering the high rates of vaccine hesitancy observed among the general public in Kuwait and the Middle East.","Al-Sanafi, Mariam, Sallam, Malik",,MDPI,,20210702.0,https://doi.org/10.3390/vaccines9070701,covidwho-1289041,,7,Vaccines,en,,2021.0,"Vaccines; 9(7):701, 2021.",Psychological Determinants of COVID-19 Vaccine Acceptance among Healthcare Workers in Kuwait: A Cross-Sectional Study Using the 5C and Vaccine Conspiracy Beliefs Scales,article,,,9
"Vaccination is one of the most effective ways to stop the spread of COVID-19. Understanding factors associated with intention to receive COVID-19 vaccines is the key to a successful vaccination programme. This cross-sectional study explored the rate of vaccination intention and identified its predictors using the health belief model (HBM) in the general population in Hong Kong during the pandemic. Data were collected between December 2020 and January 2021 via telephone surveys. Hierarchical logistic regression analysis was used to identify factors associated with intention to receive COVID-19 vaccines. A total of 1255 adults (&amp;gt;18 years, 53% female) completed the telephone survey. Overall, 42% indicated an intention to vaccinate, 31.5% showed vaccine hesitancy, and 26.5% reported refusal to receive any COVID-19 vaccines. Individuals who were men, older in age, working, with past experiences of other pandemics, less concerned with the vaccine safety, with poorer knowledge about COVID-19, and having greater levels of perceived susceptibility, self-efficacy, cues to action, and acceptance of governmental preventive measures related to COVID-19 were significantly more likely to report an intention to vaccinate. The low intention among the Hong Kong population reflects the importance of developing effective vaccination promotion campaigns with the predictors identified in this study.","Yan, Elsie, Lai, Daniel W. L.; Lee, Vincent W. P.",,MDPI,,20210702.0,https://doi.org/10.3390/vaccines9070696,covidwho-1289038,,7,Vaccines,en,,2021.0,"Vaccines; 9(7):696, 2021.","Predictors of Intention to Vaccinate against COVID-19 in the General Public in Hong Kong: Findings from a Population-Based, Cross-Sectional Survey",article,,,9
"Understanding the potential impact of COVID-19 on receiving influenza vaccination among healthcare workers (HCWs) is of utmost importance. The purposes of the present cross-sectional study were to describe the characteristics and to explore the predictors of receiving influenza vaccination among a large cohort of Italian HCWs in hospital settings. Information was collected through an anonymous questionnaire from December 2020 through January 2021. General and practice characteristics, perceived risk of seasonal influenza, attitudes towards efficacy and safety of influenza vaccination, and reasons behind the decision to be vaccinated against influenza were explored. Fewer than half (46.2%) of HCWs agreed that influenza is a serious illness and perceived the risk of getting infected with influenza, and concerns about the safety of the vaccination were significant positive predictors. Fewer than half of the respondents were not concerned at all about the efficacy (48.6%) and safety (49.8%) of influenza vaccination, and 51.9% reported that they have not received a seasonal influenza vaccine during the previous season. The most mentioned reason for receiving the influenza vaccine in the current season was that influenza and COVID-19 share some similar symptoms. Study results will aid policymakers in developing vaccination education programs, promotion of trust to address negative misconceptions, and to achieve future high coverage among this high-risk group.","Della Polla, Giorgia, Licata, Francesca, Angelillo, Silvia, Pelullo, Concetta Paola, Bianco, Aida, Angelillo, Italo Francesco",,MDPI,,20210702.0,https://doi.org/10.3390/vaccines9070695,covidwho-1289037,,7,Vaccines,en,,2021.0,"Vaccines; 9(7):695, 2021.",Characteristics of Healthcare Workers Vaccinated against Influenza in the Era of COVID-19,article,,,9
"Several preventive measures have been applied to limit the COVID-19 pandemic, including successful the development and introduction of vaccines. The aim of this study was to investigate adherence to preventive measures and vaccination intentions among nursing students in three European countries and the factors associated with vaccination intention and advising vaccination. A cross-sectional study using convenience/snow-ball sampling strategy was performed in Slovenia, Poland, and Serbia between 12 February and 5 March 2021. Data from 872 eligible respondents were analyzed (mean age 23.5 ¡À 6.5 years, 89% female). Higher adherence to preventive behavior was declared by those working in healthcare (p &amp;lt;0.001), engaged in COVID-19 departments (p &amp;lt;0.001), had not had the disease yet (p &amp;lt;0.001), and had children (p = 0.01). Those groups also expressed higher vaccination intention and advised vaccination to others. Higher vaccination intention and advising vaccination were mostly associated with belief in benefits of vaccine, trust in institutions, perceived effectiveness of vaccine, influence of social environment, protection of patients and perceived health care professionals¡¯ duty. Fear of side effects and general refusal of vaccines are the main reasons for vaccination hesitancy. The results of the study indicate how higher education institutions can support the development of appropriate professional attitudes and behaviors among nursing students.","Kregar Velikonja, Nevenka, Dobrowolska, Beata, Stanisavljevi?, Sanja, Erjavec, Karmen, Globevnik Velikonja, Vislava, Verdenik, Ivan",,MDPI,,20210702.0,https://doi.org/10.3390/healthcare9070781,covidwho-1288847,,7,Healthcare,en,,2021.0,"Healthcare; 9(7):781, 2021.",Attitudes of Nursing Students towards Vaccination and Other Preventive Measures for Limitation of COVID-19 Pandemic: Cross-Sectional Study in Three European Countries,article,,,9
